!	This table contains the latitude and longitude locations and the
!	elevations in meters of tide and water level gages around the U.S.
!	These stations must be sorted in increasing order based on the
!       ASCII station identifier.
!!
! Log:
! R. Hollern/NCEP        8/00   Created table.                        
! C. Caruso Magee/NCEP  02/02   Replaced CREX IDs with AWIPS IDs wherever
!                               a station has a valid AWIPS ID.
! R. Hollern/NCEP       07/10   Corrected the elevations of NBLP1, PHBP1,
!                               and DELD1
! C. Caruso Magee/NCEP  07/03   Replaced CREX IDs with AWIPS IDs for stns
!                               ANTA2, NKTA2, NMTA2, SKTA2, and ORTO3 and
!                               added new stations KWHH1 and NSTP6.
! C. Caruso Magee/NCEP  08/04   Replaced CREX IDs with AWIPS IDs for stns
!                               OOUH1, KLIH1, NWHC3, KPTN6, MROS1, TRDF1,
!                               VAKF1, VCAF1, KYWF1, NPSF1, FMRF1, SAPF1,
!                               CWBF1, CKYF1, APCF1, PCBF1, PCLF1, SBPT2,
!                               MGPT2, EPTT2, GTOT2, GPST2, MQTT2, PTIT2,
!                               FTGM4, OSGN6, BUFN6, HRBM4, DTLM4, SWPM4,
!                               PTIM4, MCGM4, GDMM5, RTYC1, AAMC1, RCMC1,
!                               ADKA2, PRDA2, LTBV3, CHAV3, SJNP4, MGIP4,
!                               BLTM3, and PTCR1.
!                               Added new stations FPKG1 and RCKM4.
!                               Changed ORTO3 to PORO3.   
! C. Caruso Magee/NCEP  09/04   Added new stations CHCM2, FSKM2, YKTV2,  
!                               SNSN7, MCYF1, LABL1, and BYGL1.
!                               Replaced old CREX ID TX040 with FPTT2.
! C. Caruso Magee/NCEP  10/04   Corrected RCKM4's stn elev. from 0 m to 180 m.
! C. Caruso Magee/NCEP  01/05   Added new stations CAPL1 and UGIL1 to the
!                               table, replaced OH030 with THRO1, and replaced  
!                               OH025 with MRHO1.                     
! C. Caruso Magee/NCEP  03/05   Added new station JMPN7 to the table. Updated   
!                               lats for BYGL1 and GPST2, and updated longs 
!                               for MGPT2 and PTIT2 (rounding diffs).      
! C. Caruso Magee/NCEP  03/05   Added new station GSJT2 to the table.        
! C. Caruso Magee/NCEP  03/05   Added new station LOPW1 to the table.        
! C. Caruso Magee/NCEP  04/05   Replaced CREX IDs with AWIPS IDs for stns      
!                               SNDP5, WAKP8, and KWJP8.                   
! C. Caruso Magee/NCEP  01/06   Added new stations GNJT2, FRPS1, SCIS1, 
!                               and MNMM4 to the table.     
! C. Caruso Magee/NCEP  03/06   Added new stations WELM1, SJSN4, BDRN4, 
!                               BRND1, BISM2, PPTM2, YKRV2, CRYV2, CHYV2,
!                               PMAF1, OPTF1, PSTL1, LTRM4, LAPW1, RDDA2,
!                               APRP7, and BEPB6 to the table.  Replaced
!                               OH020 with CNDO1.
! C. Caruso Magee/NCEP  03/06   Added new stations WLON7 and KWNW3 to the
!                               table.             
! C. Caruso Magee/NCEP  06/06   Added new station ROBN4 to the table.   
! C. Caruso Magee/NCEP  10/06   Added new stations DOMV2, COVM2, and ERTF1
!                               to the table.   
! C. Caruso Magee/NCEP  01/07   Change MI020 to PNLM4.                  
! C. Caruso Magee/NCEP  02/07   Added new stations WAUO3, SHNO3, and VAPW1
!                               to the table.   
! C. Caruso Magee/NCEP  05/07   Changed SC020 to CHTS1.                  
! C. Caruso Magee/NCEP  05/07   Changed ME014 to ATGM1 and ME012 to CTGM1. 
!                               Removed HI080 (was replaced by APRP7 in 03/06).
!                               Removed NC040 (was replaced by WLON7 in 03/06).
! C. Caruso Magee/NCEP  10/07   Added new stations FTPN3 and SKAW1 to the
!                               table.     
! J. Ator/NCEP		04/09	Added new stations OCIM2 and WPTW1.
! J. Ator/NCEP		10/11	Changed several CREX IDs to SHEF IDs in response
!                               to changes by NOS.
! J. Cahoon/NCEP        12/11   Added several missing IDs that are incoming
!                               but are not in the table, per NOS request 
!
AAMC1           ALAMEDA                          CA US 03777 -12230 0000        
ACYN4           ATLANTIC CITY                    NJ US 03936 -07442 0000        
ADKA2           ADAK ISLAND                      AK US 05187 -17663 0000        
AGCM4           ALGONAC                          MI US 04262 -08257 0000        
AK010           KETCHIKAN                        AK US 05533 -13163 0000        
AK020           SITKA                            AK US 05705 -13534 0000        
AK030           JUNEAU                           AK US 05830 -13442 0000        
AK040           YAKUTAT                          AK US 05955 -13973 0000        
AK050           CORDOVA                          AK US 06056 -14575 0000        
AK060           VALDEZ                           AK US 06113 -14636 0000        
AK070           SEWARD                           AK US 06012 -14943 0000        
AK080           SELDOVIA                         AK US 05944 -15172 0000        
AK090           KODIAK ISLAND                    AK US 05773 -15251 0000
AK100           SAND POINT                       AK US 05533 -16017 0000        
AK120           UNALASKA                         AK US 05388 -16654 0000        
AL020           NULL                             AL US 03025 -08808 0000        
ALIA2           ALITAK                           AK US 05690 -15425 0000
ALXN6           ALEXANDRIA BAY                   NY US 04433 -07593 0000
AMFN6           AMERICAN FALLS                   NY US 04308 -07906 0173        
AMRL1           LAWMA AMERADA PASS               LA US 02945 -09134 0000
ANTA2           ANCHORAGE                        AK US 06123 -14989 0000        
ANVC1           ARENA COVE                       CA US 03891 -12371 0000        
APAM2           ANNAPOLIS                        MD US 03898 -07648 0000        
APCF1           APALACHICOLA                     FL US 02973 -08498 0000        
APRP7           APRA HARBOR/GUAM                    US 01344  14465 0000        
ASTO3           ASTORIA                          OR US 04621 -12377 0000        
ATGM1           BAR HARBOR                       ME US 04440 -06820 0003        
ATKA2           ATKA                             AK US 05223 -17417 0000
BA010           SETTLEMENT POINT                    BA 02671 -07899 0000        
BABT2           BAFFIN BAY                       TX US 02730 -09741 0000
BATN6           THE BATTERY                      NY US 04070 -07402 0000        
BDRN4           BURLINGTON/DEL RIVER             NJ US 04008 -07487 0000        
BEPB6           BERMUDA ESSO PIER                   BE 03237 -06470 0000        
BFTN7           BEAUFORT                         NC US 03472 -07667 0000        
BGNN4           BERGEN POINT WEST REACH          NY US 04064 -07415 0000        
BHBM3           BOSTON                           MA US 04236 -07105 0000        
BISM2           BISHOPS HEAD                     MD US 03822 -07604 0000        
BKBF1           WEST END ST JOHNS RIVER             US 03019 -08169 0000
BKTL1           BULK TERMINAL                    LA US 03019 -09330 0000
BLTM2           BALTIMORE                        MD US 03927 -07658 0000        
BLTM3           BORDEN FLATS LT AT FALL RIVER    MA US 04170 -07117 0000        
BRHC3           BRIDGEPORT                       CT US 04117 -07318 0000        
BRND1           BRANDYWINE SHOAL LIGHT           DE US 03899 -07511 0000        
BUFN6           BUFFALO                          NY US 04288 -07889 0178        
BYGL1           W BANK 1/BAYOU GAUCHE            LA US 02978 -09042 0000        
BYSA1           STATE BRIDGE DOG RIVER              US 03056 -08809 0000
BZBM3           WOODS HOLE                       MA US 04152 -07067 0000        
CA050           NULL                             CA US 03440 -11968 0000        
CAMM2           CAMBRIDGE                        MD US 03857 -07607 0000        
CAPL1           CALCASIEU PASS                   LA US 02977 -09334 0000
CARL1           CARROLLTON                       LA US 02993 -09014 0000
CASM1           PORTLAND                         ME US 04366 -07025 0000        
CAVN6           CAPE VINCENT LAKE ONTARIO        NY US 04413 -07633 0000
CBBV2           CHESAPEAKE BAY BRIDGE TUNNEL     VA US 03697 -07611 0000        
CECC1           CRESCENT CITY                    CA US 04175 -12418 0000        
CFPN7           CAPE HATTERAS FISHING PIER       NC US 03522 -07563 0000        
CFWM1           CUTLER FARRIS WHARF              ME US 04466 -06721 0000
CHAO3           CHARLESTON                       OR US 04334 -12432 0000        
CHAV3           CHARLOTTE AMALIE                 VI US 01833 -06492 0000        
CHCM2           CHESAPEAKE CITY                  MD US 03953 -07581 0000        
CHLV2           CHESAPEAKE LIGHT                 VA US 03690 -07570 0000        
